Fav,Pos,Race No,Share,Name,Net Time,Gender,Team,Member1,Member2,Member3,Member4,Wave,Start,Run,Bike,Sandbag Gauntlet,Battle Rope Pull,Farmer's Carry,Row,Deadball Burpee,Sled Push,Pendulum Shots,Agility Climber,Ski,Finish
,20,2463,,TEAM 2463,0:39:02,Mixed,,Asha Vadivelu,Kevang Choun,Angela Loo,Syed Sadiq Obaidi Albar,Heat3 4:20:00 PM,0:00:03,0:02:35,0:06:23,0:13:36,0:17:45,0:19:33,0:24:22,0:26:50,0:28:55,0:31:21,0:33:05,0:37:49,0:39:02
,21,2430,,TEAM 2430,0:39:34,Mixed,,Edlyn Jing Hong Chee,JOLYNN WONG,SHARAIN SHAHRUDIN,KARL CHAN,Heat1 4:00:00 PM,0:00:03,0:02:06,0:05:14,0:11:23,0:15:28,0:17:15,0:20:57,0:23:22,0:25:04,0:32:23,0:34:11,0:37:56,0:39:34
,22,2454,,TEAM 2454,0:39:54,Mixed,,Syed Najib Shahabudin,Nabilah Bajunid,Puteri Farah Ismail,Kuok Shawn Chan,Heat3 4:20:00 PM,0:00:02,0:02:09,0:05:52,0:11:53,0:15:28,0:17:15,0:22:18,0:25:30,0:27:19,0:32:21,0:34:07,0:38:17,0:39:54
,23,2432,,TEAM 2432,0:39:59,Mixed,,Mahendra Poedjono,Jamie Jessica Hendricks,POH YENG LIM,CHEE WENG CHAN,Heat1 4:00:00 PM,0:00:02,0:02:17,0:05:49,0:11:34,0:15:51,0:17:31,0:22:05,0:24:51,0:27:04,0:31:57,0:33:25,0:38:06,0:39:59
,24,2441,,TEAM 2441,0:41:28,Mixed,,Thoo Sueen,Ronald Tan Kit Lun,Stephanie Goh,Dennis Lee Kwan Yen,Heat2 4:10:00 PM,0:00:04,0:02:45,0:06:54,0:11:43,0:15:43,0:17:19,0:20:42,0:22:41,0:25:44,0:29:24,0:31:17,0:36:18,0:38:08
,25,2470,,TEAM 2470,0:41:34,Mixed,,Gurinder Singh,Shamini Manohagar,Audrey Kar Yoong,Haris Faiz Mohd Fathil,Heat4 4:30:00 PM,0:00:03,0:02:39,0:06:36,0:14:13,0:17:39,0:19:26,0:23:54,0:26:27,0:28:34,0:32:36,0:34:11,0:39:08,0:41:34
,26,2467,,TEAM 2467,0:41:59,Mixed,,CHONG CHING WEN,BRIAN LIM KUK MENG,TAN KAH KIAT,LOOI MUN LAI,Heat4 4:30:00 PM,0:00:02,0:02:13,0:05:39,0:11:21,0:14:23,0:15:44,0:19:11,0:22:25,0:24:59,0:34:00,0:35:57,0:40:17,0:41:59
,27,2481,,TEAM 2481,0:42:07,Mixed,,Vinny Tan,Han Weng Yip,Sin Yi Chang,Andrew Yeoh,Heat4 4:30:00 PM,0:00:03,0:02:37,0:06:04,0:14:57,0:18:59,0:20:35,0:24:04,0:27:27,0:29:49,0:35:08,0:36:46,0:40:55,0:42:07
,28,2446,,TEAM 2446,0:42:47,Mixed,,Chandraysh K. Agisparayan,Johannes Weemaes,Nuralia Mazlan,Gwendolyn Bellinger,Heat2 4:10:00 PM,0:00:02,0:02:02,0:05:00,0:10:17,0:13:11,0:14:02,0:17:02,0:20:30,0:23:43,0:36:31,0:38:02,0:41:19,0:42:47
,29,2429,,TEAM 2429,0:43:00,Mixed,,Jimmy Lim,Wilson Ng,Ashley Tan,Elaine Leong,Heat1 4:00:00 PM,0:00:04,0:02:12,0:05:51,0:13:37,0:17:51,0:19:54,0:24:19,0:26:53,0:28:23,0:35:36,0:37:09,0:41:31,0:43:00
