Fav,Pos,Race No,Share,Name,Net Time,Category,Cat Pos,Gender,Wave,Start,Run,Bike,Sandbag Gauntlet,Battle Rope Pull,Farmer's Carry,Row,Deadball Burpee,Sled Push,Pendulum Shots,Agility Climber,Ski,The Mule
,25,344,,EDWARD SEE,0:42:08,30 - 39,18,Male,Heat3 3:50:00 PM,0:00:03,0:02:04,0:04:26,0:07:56,0:13:41,0:15:57,0:20:12,0:23:56,0:28:18,0:34:19,0:36:22,0:40:38,0:42:08
,26,417,,NICOLAAS VAN EEDEN,0:42:16,30 - 39,19,Male,Heat8 4:40:00 PM,0:00:03,0:01:51,0:03:42,0:06:51,0:13:25,0:16:13,0:20:51,0:24:21,0:29:37,0:34:05,0:36:46,0:40:19,0:42:16
,27,358,,JAWAD KROUMA,0:42:23,30 - 39,20,Male,Heat4 4:00:00 PM,0:00:03,0:02:23,0:05:12,0:10:47,0:16:36,0:18:29,0:22:22,0:26:27,0:29:57,0:34:52,0:37:40,0:40:48,0:42:23
,28,383,,KAAN DALKIC,0:43:24,18 - 29,8,Male,Heat6 4:20:00 PM,0:00:03,0:02:15,0:05:09,0:09:44,0:15:52,0:17:53,0:22:07,0:26:43,0:32:04,0:36:17,0:38:36,0:42:06,0:43:24
,29,466,,KEVIN LIM WEI VERN,0:43:42,30 - 39,21,Male,Heat12 5:20:00 PM,0:00:01,0:01:50,0:04:39,0:08:07,0:17:23,0:19:10,0:22:43,0:26:22,0:32:32,0:36:55,0:38:41,0:42:25,0:43:42
,30,345,,MOHD ARIF ASHRAF MOHD RUSOK,0:43:47,18 - 29,9,Male,Heat3 3:50:00 PM,0:00:04,0:02:00,0:04:05,0:07:20,0:16:03,0:19:00,0:22:42,0:26:22,0:30:13,0:35:05,0:37:24,0:42:15,0:43:47
,31,360,,CHRISTIAN KIRRBACH,0:44:02,30 - 39,22,Male,Heat4 4:00:00 PM,0:00:02,0:01:51,0:03:54,0:06:57,0:13:57,0:16:13,0:20:13,0:25:21,0:30:44,0:35:21,0:38:09,0:42:13,0:44:02
,32,405,,DAVID JOHN SPENCE,0:44:28,40+,1,Male,Heat7 4:30:00 PM,0:00:03,0:01:53,0:04:27,0:07:53,0:17:19,0:19:26,0:23:29,0:28:23,0:32:09,0:37:10,0:39:07,0:42:50,0:44:28
,33,469,,HUI SIONG LAU,0:44:29,30 - 39,23,Male,Heat12 5:20:00 PM,0:00:02,0:02:02,0:04:55,0:08:28,0:14:39,0:16:48,0:20:42,0:24:17,0:29:11,0:37:03,0:39:17,0:43:02,0:44:29
,34,319,,IAN DEETH,0:44:34,40+,2,Male,Heat1 3:30:00 PM,0:00:02,0:01:44,0:04:06,0:07:02,0:14:19,0:16:28,0:20:29,0:24:12,0:30:18,0:37:08,0:39:13,0:43:01,0:44:34
,35,369,,SHAHASSANAL IZZAT HAJI SHAHIBULBAHRI,0:44:44,30 - 39,24,Male,Heat5 4:10:00 PM,0:00:00,0:01:37,0:03:56,0:08:00,0:15:30,0:17:30,0:20:51,0:25:04,0:27:55,0:37:07,0:38:50,0:42:48,0:44:44
,36,350,,WEI YAN CHEW,0:44:44,30 - 39,25,Male,Heat3 3:50:00 PM,0:00:02,0:01:57,0:03:55,0:07:42,0:13:53,0:16:19,0:20:00,0:24:40,0:29:17,0:36:08,0:38:50,0:42:29,0:44:44
,37,385,,LAWRENCE YOONG,0:44:50,40+,3,Male,Heat6 4:20:00 PM,0:00:04,0:02:31,0:05:40,0:09:30,0:17:04,0:19:31,0:24:00,0:28:50,0:33:48,0:37:43,0:39:39,0:43:26,0:44:50
,38,329,,KYRIE AZRY,0:44:54,18 - 29,10,Male,Heat2 3:40:00 PM,0:00:03,0:01:53,0:04:19,0:08:10,0:13:57,0:16:52,0:20:33,0:23:47,0:30:48,0:36:35,0:39:00,0:43:24,0:44:54
,39,351,,RIZ IRFAN,0:45:02,30 - 39,26,Male,Heat3 3:50:00 PM,0:00:02,0:02:01,0:04:09,0:08:18,0:14:44,0:16:45,0:20:26,0:24:39,0:28:17,0:36:05,0:39:59,0:42:55,0:45:02
,40,325,,FAYEZ ALKUZBARI,0:45:06,18 - 29,11,Male,Heat1 3:30:00 PM,0:00:02,0:01:44,0:04:28,0:09:03,0:15:35,0:17:58,0:22:44,0:25:28,0:31:29,0:38:07,0:40:11,0:43:47,0:45:06
,41,448,,ADI ASYMAWI,0:45:57,18 - 29,12,Male,Heat11 5:10:00 PM,0:00:03,0:02:10,0:04:43,0:08:30,0:14:24,0:16:49,0:21:15,0:26:00,0:30:36,0:38:02,0:40:03,0:44:29,0:45:57
,42,331,,RAJ AHMED,0:46:37,40+,4,Male,Heat2 3:40:00 PM,0:00:02,0:01:56,0:04:50,0:08:56,0:16:54,0:18:51,0:22:50,0:27:07,0:32:57,0:39:13,0:41:18,0:45:09,0:46:37
,43,328,,WISSAM ABJIE,0:46:56,30 - 39,27,Male,Heat1 3:30:00 PM,0:00:03,0:01:34,0:03:48,0:07:15,0:15:19,0:17:40,0:22:01,0:26:03,0:32:20,0:38:55,0:41:16,0:45:40,0:46:56
,44,457,,DAMILARE ALABI,0:47:08,40+,5,Male,Heat11 5:10:00 PM,0:00:04,0:02:16,0:04:46,0:09:04,0:15:05,0:17:20,0:21:10,0:26:14,0:30:57,0:39:46,0:41:51,0:45:17,0:47:08
,45,443,,LIM SUN LUNG,0:47:30,30 - 39,28,Male,Heat10 5:00:00 PM,0:00:02,0:02:10,0:04:29,0:09:18,0:18:52,0:22:31,0:27:23,0:32:48,0:37:57,0:44:31,0:47:27,,0:47:30
,46,436,,AHMAD FARHAN MOHD FUAD,0:47:59,18 - 29,13,Male,Heat10 5:00:00 PM,0:00:04,0:02:10,0:04:34,0:08:32,0:14:23,0:17:07,0:20:47,0:28:11,0:34:12,0:38:08,0:41:00,0:45:57,0:47:59
,47,354,,ALEX DELARUE,0:48:07,30 - 39,29,Male,Heat3 3:50:00 PM,0:00:02,0:01:54,0:04:12,0:07:48,0:15:37,0:18:23,0:22:22,0:26:58,0:32:58,0:34:47,0:37:01,0:41:13,0:42:56
,48,378,,MOHVINDH MANIRAJAH,0:48:17,18 - 29,14,Male,Heat5 4:10:00 PM,0:00:00,0:01:38,0:04:07,0:08:11,0:16:43,0:18:35,0:23:02,0:28:17,0:33:12,0:39:34,0:42:00,0:46:53,0:48:17
,49,370,,REX KON,0:48:21,30 - 39,30,Male,Heat5 4:10:00 PM,0:00:00,0:01:49,0:04:40,0:09:03,0:17:19,0:19:38,0:23:42,0:27:21,0:31:24,0:32:16,0:42:25,0:46:35,0:48:21
,50,244,,AKMAL IZHAM SYAHRIZAL,0:48:21,18 - 29,15,Male,Heat1 3:30:00 PM,0:00:03,0:02:02,0:04:59,0:09:53,0:16:42,0:19:44,0:24:40,0:28:22,0:33:11,0:39:35,0:42:11,0:46:27,0:48:21
,51,414,,DANIAL NAIM NOOR SHAHWAN,0:48:24,30 - 39,31,Male,Heat8 4:40:00 PM,0:00:02,0:02:02,0:04:29,0:07:25,0:17:59,0:20:07,0:24:12,0:25:12,0:31:29,0:39:43,0:41:48,0:46:05,0:48:24
,52,332,,MUIZ TAJUL,0:48:41,30 - 39,32,Male,Heat2 3:40:00 PM,0:00:03,0:02:04,0:04:36,0:08:28,0:14:28,0:18:52,0:20:55,0:28:32,0:35:33,0:39:55,0:42:24,0:46:37,0:48:41
,53,330,,JACKY NG,0:48:45,40+,6,Male,Heat2 3:40:00 PM,0:00:03,0:01:52,0:04:28,0:08:51,0:17:07,0:20:01,0:25:08,0:29:27,0:34:37,0:40:59,0:43:27,0:47:11,0:48:45
,54,335,,FADZEEL MUNIR,0:49:32,30 - 39,33,Male,Heat2 3:40:00 PM,0:00:02,0:01:45,0:03:53,0:08:10,0:15:41,0:18:33,0:22:30,0:27:49,0:33:10,0:40:45,0:43:14,0:47:48,0:49:32
,55,419,,HUI HOO CHUAN,0:49:36,40+,7,Male,Heat8 4:40:00 PM,0:00:03,0:02:22,0:04:54,0:09:47,0:17:37,0:20:00,0:25:31,0:30:27,0:35:45,0:41:25,0:43:47,0:48:14,0:49:36
,56,463,,NAIMI NOORDIN,0:49:51,30 - 39,34,Male,Heat12 5:20:00 PM,0:00:04,0:03:07,0:06:28,0:11:34,0:19:11,0:21:52,0:27:05,0:31:23,0:36:48,0:41:39,0:44:04,0:48:20,0:49:51
,57,346,,DIAA ALMUNAJED,0:49:55,18 - 29,16,Male,Heat3 3:50:00 PM,0:00:02,0:02:02,0:05:02,0:11:06,0:18:26,0:21:39,0:26:21,0:31:23,0:36:07,0:41:06,0:43:55,0:48:08,0:49:55
,58,432,,MUHAMAD SYUKOR ZAKARIA,0:51:10,30 - 39,35,Male,Heat9 4:50:00 PM,0:00:02,0:01:49,0:04:15,0:09:11,0:19:09,0:23:30,0:27:53,0:31:47,0:36:37,0:42:00,0:44:40,0:48:55,0:51:10
,59,348,,AIMAN SALIM,0:51:12,18 - 29,17,Male,Heat3 3:50:00 PM,0:00:04,0:02:09,0:04:35,0:09:22,0:18:21,0:21:43,0:25:53,0:30:12,0:37:40,0:42:35,0:45:18,0:49:27,0:51:12
,60,394,,JAYDEN TIAN,0:51:58,30 - 39,36,Male,Heat7 4:30:00 PM,0:00:03,0:01:51,0:04:20,0:07:34,0:15:31,0:18:52,0:24:01,0:27:45,0:31:44,0:43:00,0:45:18,0:49:54,0:51:58
,61,361,,MUHAMMAD SHAHRIL AKBAL BIN SUHAIMI,0:52:03,30 - 39,37,Male,Heat4 4:00:00 PM,0:00:04,0:02:18,0:05:07,0:09:38,0:17:01,0:19:14,0:23:22,0:28:01,0:33:11,0:43:07,0:45:45,0:50:17,0:52:03
,62,376,,ALEXANDRE MOREL,0:52:03,30 - 39,38,Male,Heat5 4:10:00 PM,0:00:00,0:01:34,0:03:53,0:07:49,0:16:30,0:19:15,0:23:04,0:29:04,0:36:13,0:44:39,0:46:32,0:50:13,0:52:03
,63,387,,HISHAMMUDDIN ABDULLAH,0:52:13,30 - 39,39,Male,Heat6 4:20:00 PM,0:00:04,0:02:18,0:05:15,0:09:06,0:18:23,0:21:03,0:25:07,0:30:18,0:38:01,0:43:36,0:46:03,0:50:00,0:52:13
,64,357,,HISYAM HASHIM,0:52:46,30 - 39,40,Male,Heat4 4:00:00 PM,0:00:02,0:02:05,0:04:10,0:07:09,0:15:16,0:19:12,0:23:15,0:28:17,0:35:52,0:43:58,0:46:07,0:50:38,0:52:46
,65,382,,AHMAD ALSERAWAN,0:53:10,30 - 39,41,Male,Heat6 4:20:00 PM,0:00:03,0:02:18,0:04:50,0:10:02,0:18:19,0:21:28,0:26:19,0:32:43,0:35:45,0:39:41,0:46:51,0:50:29,0:53:10
,66,375,,TAN JAW TZUU,0:53:17,18 - 29,18,Male,Heat5 4:10:00 PM,0:00:00,0:01:57,0:04:35,0:08:28,0:17:31,0:20:08,0:25:07,0:31:14,0:38:01,0:42:54,0:45:22,0:51:17,0:53:17
,67,446,,SYED ROHER,0:53:23,18 - 29,19,Male,Heat11 5:10:00 PM,0:00:02,0:02:02,0:04:45,0:09:18,0:18:08,0:22:01,0:26:38,0:30:28,0:34:31,0:43:59,0:46:30,0:51:59,0:53:23
,68,384,,RICHARD YU,0:53:47,30 - 39,42,Male,Heat6 4:20:00 PM,0:00:03,0:02:07,0:04:13,0:09:07,0:18:52,0:21:57,0:25:58,0:31:35,0:37:56,0:44:01,0:47:28,0:51:38,0:53:47
,69,411,,HERMAN AB RAHIM,0:53:48,40+,8,Male,Heat8 4:40:00 PM,0:00:04,0:02:30,0:06:01,0:10:50,0:20:41,0:22:57,0:27:06,0:33:30,0:37:23,0:45:16,0:47:14,0:51:57,0:53:48
,70,349,,ZAIM HISHAM,0:54:04,18 - 29,20,Male,Heat3 3:50:00 PM,0:00:02,0:01:51,0:04:08,0:07:25,0:17:34,0:19:57,0:25:10,0:29:14,0:35:35,0:45:25,0:47:47,0:52:26,0:54:04
,71,393,,MOHD RAIHAN SUFIAN BIN HASNI,0:54:11,18 - 29,21,Male,Heat6 4:20:00 PM,0:00:03,0:02:08,0:04:54,0:09:21,0:18:21,0:21:54,0:27:00,0:31:00,0:35:40,0:46:19,0:48:30,0:52:47,0:54:11
,72,445,,ALVIN NETTO,0:54:16,30 - 39,43,Male,Heat10 5:00:00 PM,0:00:03,0:02:15,0:05:26,0:09:53,0:18:36,0:21:22,0:26:29,0:32:55,0:39:09,0:44:40,0:46:59,0:51:51,0:54:16
,73,433,,JON KOO,0:55:00,40+,9,Male,Heat10 5:00:00 PM,0:00:05,0:02:23,0:05:25,0:11:01,0:19:50,0:23:07,0:27:01,0:31:56,0:41:03,0:46:44,0:49:08,0:52:35,0:55:00
