Fav,Pos,Race No,Share,Name,Net Time,Gender,Team,Member1,Member2,Member3,Member4,Wave,Start,Run,Bike,Sandbag Gauntlet,Battle Rope Pull,Farmer's Carry,Row,Deadball Burpee,Sled Push,Pendulum Shots,Agility Climber,Ski,Finish
,20,2384,,TEAM 2384,0:46:26,Female,,NOORELIA LAILEY AZHAR,SHARIFAH AISYAH SYED MOHAMED,NUR KAMILIA BINTI ROZLAN,AYU MASTURA KHAMIS,Heat3 2:20:00 PM,0:00:03,0:02:36,0:05:21,0:14:49,0:19:15,0:22:33,0:26:28,0:30:34,0:32:49,0:36:51,0:38:59,0:44:00,0:46:26
,21,2368,,TEAM 2368,0:46:45,Female,,Patsy Chin,Elaine Yap,Ann Wong,Beng Suan Toh,Heat1 2:00:00 PM,0:00:03,0:02:45,0:06:24,0:13:09,0:20:00,0:22:10,0:26:08,0:27:26,0:34:24,0:37:22,0:39:29,0:44:21,0:46:45
,22,2391,,TEAM 2391,0:46:47,Female,,NORAZLIN A.AZIZ,Durrati Abdul Khalid,Nur Alya Batrisya Ismail,Hanna Razali,Heat3 2:20:00 PM,0:00:02,0:02:47,0:05:59,0:12:35,0:17:19,0:19:08,0:23:17,0:29:04,0:32:29,0:38:25,0:40:28,0:44:53,0:46:47
,23,2385,,TEAM 2385,0:47:02,Female,,Kirubhashini Ellanggoven,Prevena Ananthan,Gunasundari Ramayah,Preyancli Santhiran,Heat3 2:20:00 PM,0:00:03,0:02:12,0:05:27,0:13:29,0:19:38,0:21:41,0:26:02,0:30:43,0:34:52,0:37:33,0:39:30,0:44:22,0:47:02
,24,2366,,TEAM 2366,0:47:40,Female,,Lee Mei Ying,Sherena Lee Mei Hui,Aina Nadirah Rokman,Goh Jia Ean,Heat1 2:00:00 PM,0:00:02,0:02:47,0:06:19,0:13:26,0:19:06,0:22:47,0:27:08,0:31:16,0:34:34,0:40:22,0:42:16,0:46:03,0:47:40
,25,2370,,TEAM 2370,0:47:50,Female,,Melissa Sukumaran,Letchumi Sinadurai,Zakiya Mohamed,Ridha Mohamed,Heat1 2:00:00 PM,0:00:02,0:02:14,0:05:06,0:10:59,0:17:15,0:19:57,0:24:38,0:30:38,0:35:27,0:41:10,0:42:58,0:46:32,0:47:50
,26,2375,,TEAM 2375,0:48:46,Female,,Nadiah Kamalruzaman,Risha Nazneen Mohd Azri,Goh Su Hoon,Karoline Yee Yoke Lin,Heat2 2:10:00 PM,0:00:03,0:02:20,0:05:30,0:13:14,0:18:53,0:21:03,0:25:14,0:30:51,0:33:12,0:40:44,0:42:42,0:46:09,0:48:46
,27,2386,,TEAM 2386,0:48:52,Female,,Naziana Mohd Nawawi,Nur Hanesa Esa,Nurul Hamizah Mustapa,Sharifah Nurhidayah Syed Ramli,Heat3 2:20:00 PM,0:00:02,0:02:32,0:05:58,0:14:02,0:20:51,0:23:45,0:27:29,0:28:52,0:35:57,0:40:18,0:41:59,0:46:34,0:48:52
,28,2389,,TEAM 2389,0:49:41,Female,,Nadzratun Naim Hammad Azizi,Aishah Zulkifli,Nurul Dianah Ahmad Mahyidin,Jazilah Mohsin,Heat3 2:20:00 PM,0:00:03,0:02:48,0:05:58,0:12:55,0:18:04,0:21:24,0:25:36,0:30:32,0:33:49,0:38:45,0:40:53,0:45:44,0:47:36
,29,2378,,TEAM 2378,0:52:51,Female,,Rosefarazana Shahira Mohamad Shah,Norashikin Zainal,SITI NUR AMALINA MOHD HALIDI,Safaa Talib,Heat2 2:10:00 PM,0:00:02,0:03:14,0:06:48,0:14:02,0:21:44,0:26:04,0:30:38,0:36:03,0:39:36,0:45:18,0:47:05,0:50:55,0:52:51
,30,2390,,TEAM 2390,0:53:25,Female,,Ross Kamaruddin,Shannen Ng,Angeline Wan,Louise Lee,Heat3 2:20:00 PM,0:00:03,0:02:28,0:06:10,0:14:34,0:20:58,0:23:53,0:28:03,0:33:35,0:35:48,0:46:34,0:48:16,0:51:43,0:53:25
,31,2418,,TEAM 2418,0:55:13,Female,,TISHA,NURADLIN,SHEN,SHARON,Heat3 2:20:00 PM,0:00:03,0:02:54,0:05:49,0:14:01,0:22:18,0:27:00,0:31:05,0:36:01,0:39:48,0:47:09,0:49:11,0:53:11,0:55:13
,32,2379,,TEAM 2379,0:56:38,Female,,Farhana Fadzilah Husaini,Nurulhanani Abd Jamal,Maisara Misman,Fifi Elyana Salmi,Heat2 2:10:00 PM,0:00:03,0:03:25,0:06:39,0:16:04,0:21:56,0:25:37,0:29:43,0:33:31,0:35:59,0:46:28,0:48:59,0:53:36,0:56:38
,33,2377,,TEAM 2377,0:59:35,Female,,NOR HAFIZA MOHD SUKOR,NASLONY ABU SAMAH,SHARON MELISSA KON JIA YI,Haszalifah Hanapi,Heat2 2:10:00 PM,0:00:05,0:03:11,0:06:02,0:15:48,0:24:51,0:30:25,0:35:37,0:39:59,0:43:14,0:50:17,0:52:05,0:57:22,0:59:35
,34,2392,,TEAM 2392,1:05:05,Female,,DINNIE SAKINAH BAHTIAR,RAFIDAH ABD RAHMAN,NUR AISYAH ABD RAZAK,INTAN AMIRA ZAKARIA,Heat3 2:20:00 PM,0:00:03,0:02:54,0:06:28,0:14:09,0:25:57,0:31:46,0:36:58,0:46:08,0:50:58,0:56:51,0:58:34,1:03:05,1:05:05
,,,,,,,,,,,,,,,,,,,,,,,,,
